,0
0,More than 20 dead after typhoon batters Philippines http://t.co/hJv5kjuOD9 #UTBreakingNews
1,Philippine capital braces for storm as Hagupit leaves 27 dead - Reuters http://t.co/hVtcj9Gzay #Typhoon
2,#WorldNews Typhoon leaves trail of destruction: TYPHOON Hagupit tore apart homes and left two dead as it hit t...  http://t.co/07g2Tuxu17
3,8 new #Mers deaths take death toll in #SaudiArabia to 102 http://t.co/tZ7ZSLUBtx
4,Magnitude-5.7 earthquake hits near central Iceland - @USGS http://t.co/WOJicj0Mqz
5,MT @PoloSandovalCNN: Bldgs in #Napa red tagged/roped off after y'day's quake. http://t.co/bSpHf7e6nY LIVE thru 3pET http://t.co/Z9JF53vN3I
6,T.S. Hagupit batters Philippines: The storm that has buffeted the Philippines for days… http://t.co/m9bYFC44HV
7,Typhoon Hagupit kills at least two The storm that has buffeted the Philippines for days weakened Monday as it ru... http://t.co/X0weO7ulC2
8,El rostro de Jesucristo se presentó en un deslizamiento de tierra en San Francisco Alto Putumayo http://t.co/IecFuJqupX
9,Super-storm Hagupit changes direction towards Spratly Island - VietNamNet… http://t.co/AzWidOTtPJ #Spratlys @UN
10,Por caída de rocas se presenta cierre total en la vía La Mesa – Mosquerahttp://t.co/CndR7iF2r9
11,Typhoon Hagupit heads for Philippines http://t.co/UTFmrIZI2D
12,Sam’s Blog: Help Hurricane Hagupit Victims - http://t.co/kH2rwt6DzA
13,Ministry issues warning on MERS:  The Health Ministry has begun to raise awareness about the disease to Muslim... http://t.co/GH063oeT5g
14,Super-storm Hagupit changes direction towards Spratly Island - VietNamNet Bridge http://t.co/xVNEJOgh9i #Spratlys
15,Typhoon Hagupit Weakens As Philippines Clear Up Operation Begins http://t.co/s0ZXTa8EgZ
16,Saudi Press Roundup: Coronavirus and the bureaucracy Tribal and family bias —  http://t.co/0ITth6Z0Yd
17,Philippines may need to import 600000 tonnes of rice after  #TyphoonHagupit http://t.co/HlkxodyR8n  #cop20 http://t.co/dQ2QRot5qw
18,Malaysia Airlines Flight MH370 Disappeared at 1730 GMT Friday March 7 2014 after Taking Off http://t.co/I73H8nkSj4 via @sharethis
19,NDRRMC: There have been a total of 456386 families affected. 371846 families in evacuation centers. Some are going back home #RubyPH ...
20,@ConexionRPP  el distrito de la capilla prov. mariscal nieto Moquegua hubo un deslizamiento de lodo y piedras sepultando la ciudad
21,Powerful Earthquake Rattles Northern Chile http://t.co/xFENYADHsQ
22,Magnitude 5.7 earthquake hits #Bardarbunga volcano #Iceland 26 August. #Bárðarbunga.
23,2 cases of Middle East Respiratory Syndrome in HK...? Eh don't like that ley july have HK trip ley
24,5 dead as magnitude 8.2 #earthquake hits northern #Chile: http://t.co/Yr63tNCawL
25,Saudi Arabia says has 10 more cases in #MERS outbreak http://t.co/0MIDRS2YYh #SaudiArabia
26,Chile earthquake: Do bigger tremors loom? http://t.co/6VKg7Jt1oM
27,South Pacific cyclone 'kills dozens': The UN relief agency says there are reports of more than 40 deaths after... http://t.co/DMWfQRo5Hc
28,Philippines Official On Typhoon Hagupit: 'The Impacts Of Climate Change Are… http://t.co/YolmOYmHgl #Typhoon
29,#Hagupit expected to leave landmass by early Tuesday morning: @govph http://t.co/Psmm7uIalo http://t.co/bWoP4lpoJw
30,🇸️🇵️🇾️⬜🇳️🇷️🇮️🇨️ 12/9/14 6:11 PMKnow the evacuation centers in #RubyPH-hit areashttp://t.co/PNWdqbQ2ha http://t.co/uPeVhBgicM
31,#ChileEarthquake Update: Chilean Interior Minister reports six dead state of emergency declared for parts of northern Chile. -via @AFP
32,Number of dead rises to 6 after 8.2 earthquake in Chile. Numbers remarkably low so far as country is quake-prepared. http://t.co/adNyEEMyBG
33,Chile's President Michelle Bachelet among evacuees as second earthquake hits video http://t.co/gu5IeBlKIJ http://t.co/qeZtS1pnfv #chile
34,#PhNews MERS-CoV remains a threat in PH http://t.co/Q6lQduUEsE
35,Un derrumbe de rocas en Agua de las Avispas complicó el tránsito #policial http://t.co/V5Hikm2nYv
36,Un deslizamiento de tierra ocurrido en la vía Alóag-Santo Domingo que une a Quito con la zona costera dejó seis personas fallecidas
37,#Singapore Red Cross sends five for Typhoon Hagupit relief - The Straits Times http://t.co/eUs0Eu0per
38,@FluTrackers #MERS case no. #371 might need to be corrected for onset 19 Apr 2014 (via MoH update). Always happy to clarify (or be wrong)
39,Bay Area's 6.0 quake aftershocks and damage reports http://t.co/vOJEwIaUwl
40,Saudi Arabia finds more cases of MERS not recorded before Reuters: Saudi Arabia said on Tuesday that a re … http://t.co/5aorqiGTJn
41,Will Iceland's Bardarbunga Volcano Erupt?: Buried beneath hundreds of feet of ice Icel... http://t.co/QgYk2C22nt http://t.co/5MZ3MJM1CQ
42,#Saudi Arabia announces 16 more #coronavirus #MERS cases &amp 8 deaths - April 27 2014 http://t.co/RQsUsoWjAc  كورونا
43,California earthquake: Bay Area picks up pieces after strongest quake in 25 years http://t.co/QcluqSBMJk
44,An Australian skier buried alive by an avalanche was rescued by his friends. WATCH: http://t.co/xt0chd6eDr
45,Second chances: families shelter in a pipe during typhoon #Hagupit just 13 months after a similar stay #RubyPH http://t.co/vx68erU8lq
46,King in Jeddah to reassure people about coronavirus #mers http://t.co/N8fNrDO86U
